slug,fdc_id,name_es,name_en,aliases,unit,unit_g,serving_g
turkey-breast,171496,Pechuga de pavo asada,Turkey breast (roasted),pavo,g,,85
tuna-water,173709,Atún en agua (escurrido),Canned tuna in water (drained),atún;lata de atún,g,165,85
tuna-oil,173708,Atún en aceite (escurrido),Canned tuna in oil (drained),atún;lata de atún,g,171,85
salmon,175168,Salmón cocinado,Salmon (cooked),pescado,g,,85
tilapia,175177,Tilapia cocinada,Tilapia (cooked),pescado;mojarra,g,87,
shrimp,175180,Camarón cocido,Shrimp (cooked),gambas;langostinos;mariscos,g,,85
sardines,175139,Sardinas en aceite,Sardines in oil,pescado;lata de sardinas,g,92,
avocado,171705,Aguacate,Avocado,palta,g,201,50
tomato,170457,Jitomate,Tomato,tomate;tomates,g,123,
onion,170000,Cebolla,Onion,,g,110,
lettuce,169247,Lechuga romana,Romaine lettuce,lechuga;ensalada,g,,47
carrot,170393,Zanahoria,Carrot,,g,61,
broccoli,170379,Brócoli,Broccoli,brécol,g,,91
spinach,168462,Espinaca,Spinach,espinacas,g,,30
cucumber,168409,Pepino,Cucumber,,g,301,
zucchini,169291,Calabacita,Zucchini,calabacín;zapallito,g,196,
bell-pepper,170108,Pimiento rojo,Red bell pepper,chile morrón;pimentón;morrón,g,119,
mushrooms,169251,Champiñones,White mushrooms,hongos;setas,g,18,70
nopales,169388,Nopales cocidos,Nopales (cooked),nopal,g,29,149
green-beans,169961,Ejotes,Green beans,judías verdes;vainitas;chauchas,g,,
orange,169097,Naranja,Orange,,g,131,
strawberries,167762,Fresas,Strawberries,frutillas,g,12,144
mango,169910,Mango,Mango,,g,336,165
papaya,169926,Papaya,Papaya,lechosa;fruta bomba,g,,145
pineapple,169124,Piña,Pineapple,ananá,g,,165
grapes,174683,Uvas,Grapes,,g,,151
watermelon,167765,Sandía,Watermelon,patilla,g,,152
pear,169118,Pera,Pear,,g,178,
blueberries,171711,Arándanos,Blueberries,moras azules,g,,148
kiwi,168153,Kiwi,Kiwi,,g,69,
guava,173044,Guayaba,Guava,,g,55,
lime,168155,Limón,Lime,lima,g,67,
plantain,169130,Plátano macho,Plantain,plátano verde;banano macho,g,270,
olive-oil,171413,Aceite de oliva,Olive oil,aceite,g,,13.5
canola-oil,172336,Aceite vegetal (canola),Canola oil,aceite;aceite de colza,g,,14
mayonnaise,171009,Mayonesa,Mayonnaise,mayo,g,,13.8
sugar,169655,Azúcar,Sugar,azúcar blanca,g,,4.2
honey,169640,Miel,Honey,miel de abeja,g,,21
peanut-butter,172470,Crema de cacahuate,Peanut butter,mantequilla de maní;crema de cacahuete;mantequilla de cacahuate,g,,32
almonds,170567,Almendras,Almonds,,g,1.2,28.35
walnuts,170187,Nueces,Walnuts,nuez,g,,28.35
peanuts,173806,Cacahuates tostados,Peanuts (dry-roasted),maní;cacahuetes,g,1,28.35
chia,170554,Semillas de chía,Chia seeds,chía,g,,28.35
dark-chocolate,170273,Chocolate oscuro 70–85 %,Dark chocolate 70–85%,chocolate amargo;chocolate negro,g,,28.35
coffee,171890,Café negro,Black coffee,café americano;café,ml,,237
orange-juice,169098,Jugo de naranja,Orange juice,zumo de naranja,ml,,248
cola,174852,Refresco de cola,Cola soda,coca;soda;gaseosa,ml,370,
almond-milk,174832,Bebida de almendra sin azúcar,Unsweetened almond milk,leche de almendra,ml,,262
